Date,State,Handgun,Longgun,Multiples,Totals,Year,Month
2016-08-01,North Carolina,1208.0,12513.0,180,46518,2016,8
2016-08-01,North Dakota,1284.0,2601.0,69,5461,2016,8
2016-08-01,Ohio,26261.0,17526.0,1160,62418,2016,8
2016-08-01,Oklahoma,10881.0,9762.0,788,25927,2016,8
2016-08-01,Oregon,12661.0,10173.0,0,22911,2016,8
2016-08-01,Pennsylvania,46155.0,11700.0,0,86652,2016,8
2016-08-01,Puerto Rico,1073.0,234.0,24,1370,2016,8
2016-08-01,Rhode Island,1039.0,770.0,145,2090,2016,8
2016-08-01,South Carolina,8828.0,6906.0,330,31389,2016,8
2016-08-01,South Dakota,2387.0,3559.0,133,7873,2016,8
2016-08-01,Tennessee,22737.0,16198.0,1190,60971,2016,8
2016-08-01,Texas,42302.0,40269.0,2347,124608,2016,8
2016-08-01,Utah,2917.0,3503.0,0,21178,2016,8
2016-08-01,Vermont,1269.0,1296.0,47,2724,2016,8
2016-08-01,Virgin Islands,29.0,6.0,0,90,2016,8
2016-08-01,Virginia,21108.0,15802.0,0,38667,2016,8
2016-08-01,Washington,15083.0,11376.0,606,46645,2016,8
2016-08-01,West Virginia,6916.0,5283.0,345,17315,2016,8
2016-08-01,Wisconsin,14764.0,12079.0,43,53689,2016,8
2016-08-01,Wyoming,1721.0,2079.0,96,5295,2016,8
2016-07-01,Alabama,10132.0,7392.0,465,48927,2016,7
2016-07-01,Alaska,2898.0,2816.0,165,6793,2016,7
2016-07-01,Arizona,13693.0,8643.0,642,34496,2016,7
2016-07-01,Arkansas,6323.0,5053.0,367,19378,2016,7
2016-07-01,California,46361.0,47594.0,0,190218,2016,7
2016-07-01,Colorado,18765.0,15176.0,1054,43094,2016,7
2016-07-01,Connecticut,11328.0,4015.0,0,29755,2016,7
2016-07-01,Delaware,1859.0,1569.0,74,4494,2016,7
2016-07-01,District of Columbia,57.0,1.0,2,60,2016,7
2016-07-01,Florida,57902.0,28000.0,2324,125208,2016,7
2016-07-01,Georgia,15342.0,8597.0,632,49183,2016,7
2016-07-01,Guam,94.0,56.0,7,173,2016,7
2016-07-01,Hawaii,0.0,0.0,0,1565,2016,7
2016-07-01,Idaho,3592.0,3576.0,203,12154,2016,7
